,all_stim,area,cell_specimen_id,donor_full_genotype,dsi_dg,experiment_container_id,failed_experiment_container,g_dsi_dg,g_osi_dg,g_osi_sg,image_sel_ns,imaging_depth,osi_dg,osi_sg,p_dg,p_ns,p_run_mod_dg,p_run_mod_ns,p_run_mod_sg,p_sg,peak_dff_dg,peak_dff_ns,peak_dff_sg,pref_dir_dg,pref_image_ns,pref_ori_sg,pref_phase_sg,pref_sf_sg,pref_tf_dg,reliability_dg,reliability_nm1_a,reliability_nm1_b,reliability_nm1_c,reliability_nm2,reliability_nm3,reliability_ns,reliability_sg,rf_area_off_lsn,rf_area_on_lsn,rf_center_off_x_lsn,rf_center_off_y_lsn,rf_center_on_x_lsn,rf_center_on_y_lsn,rf_chi2_lsn,rf_distance_lsn,rf_overlap_index_lsn,run_mod_dg,run_mod_ns,run_mod_sg,sfdi_sg,specimen_id,tfdi_dg,time_to_peak_ns,time_to_peak_sg,tld1_id,tld1_name,tld2_id,tld2_name,tlr1_id,tlr1_name
2010,True,VISpm,517423581,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.49828723347228,1.0,0.518103328645139,0.498677966101695,175,,0.985222954515142,0.273890110027822,1.42243387312192e-06,0.16396770378814,0.0773608511949639,0.773710619729458,5.69888316266971e-07,2.99617987213035,9.77838034376502,5.6050285603106,,94.0,120.0,0.75,0.02,,0.00422458602042091,0.0893035976737591,0.103047323142161,0.465237022744216,0.195670716608894,0.0140303234598895,0.0663321929145633,0.0404790864338239,,,,,,,0.999990593564824,,,-1.60069584933701,-0.903218551896853,-0.180091555311643,0.319689695841241,496001363,0.196580643885381,0.332499999999989,0.232749999999992,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2012,True,VISpm,517423604,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),1.45753601725258,511510753,False,1.0,1.0,0.590925827341063,0.696966101694915,175,,0.709715893946804,7.67764219942058e-06,3.84417399880588e-88,0.0597699472814188,1.83734162092629e-05,0.838354371015734,6.35887018080111e-07,3.40036097168922,31.4807395416498,2.92718193352222,0.0,69.0,120.0,0.0,0.02,1.0,0.0411981755971303,0.0124690585126969,0.0288748748154977,0.0127206707342887,0.0153687209425281,0.0318147365469212,0.392184463155648,0.0258103479164007,,,,,,,0.999192916161617,,,1.13257228772708,0.829786412776991,-0.110243796783174,0.323156077718932,496001363,0.361732577461859,0.332499999999989,0.332499999999989,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2014,True,VISpm,517423621,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.302188673943556,511510753,False,0.135040556486179,0.306873828433724,0.510512470914613,0.232118644067797,175,0.434593463719686,0.46277927979585,1.50682321133651e-05,2.2366424610423e-05,0.694184473469749,0.139274386190677,0.0129369991686701,9.97869150502765e-14,1.09378107041121,1.10552038505673,1.39546855381675,0.0,48.0,0.0,0.5,0.02,2.0,-0.0113848674094152,-0.00568068256491847,0.00152156692575256,0.00467650981384588,0.00160583557006193,0.00180847776569238,0.00931878403274861,0.00752762121828133,,,,,,,0.999999971218814,,,0.22501085161044,0.959424113070909,0.928412993633537,0.317626814241217,496001363,0.386772963097645,0.199499999999993,0.365749999999988,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2016,True,VISpm,517423644,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.630134493266107,0.273886005977133,0.818059262868763,0.801593220338983,175,,,0.246261985342057,3.23121995136694e-226,0.374301075480437,0.778848668699963,0.315756018911636,0.00032768107847584,0.607879136626919,60.970701675415,1.17019867893308,,26.0,30.0,0.5,0.32,,0.0245447889906984,0.0178935316822824,0.00799410549215531,0.0015014336776987,0.0188587294694039,0.0103567244140011,0.778706123367978,-0.00020438026988104,,11.4614789804799,,,69.5948912162893,37.4044452160133,0.999999999904887,,,-0.706338949568847,-0.0524904237629755,0.669124817420996,0.191918484219016,496001363,0.303042350167486,0.29924999999999,0.199499999999993,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2024,True,VISpm,517423693,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,1.0,1.0,0.543123309385262,0.480271186440678,175,,0.544716735302232,1.79408239395679e-18,6.22098297274819e-20,0.655830157410212,0.000961679164464781,0.809807304722719,1.58609164284511e-23,6.50601743459702,40.9276064397581,13.1907946812583,270.0,37.0,150.0,0.25,0.08,15.0,0.628258566801729,0.0818857800218445,0.065463619609831,0.0377839800363432,0.00665809684296993,0.0892425674824151,0.170305237838362,0.0107596355306802,91.2447831932428,,61.4193528832313,40.0700756782315,,,0.461725685114166,,,-0.814703203422919,0.890476426031828,0.221537821066105,0.200591591244803,496001363,0.396424106449452,0.332499999999989,,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2034,True,VISpm,517423774,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.96537810200919,0.876173172319574,0.656187938517115,0.00144067796610181,175,,1.00198222819856,0.00986216142888434,3.88113944695152e-05,0.004908702340378,0.863112313623658,0.404287920571454,0.000308181592568162,0.818996370903083,1.02155611705035,2.30201220227767,135.0,75.0,90.0,0.75,0.02,4.0,-0.0145819503693318,0.0167604777019262,0.0536804204352664,0.0919266532970025,0.24873227694383,0.0828459199396131,0.0220306771750931,0.00930329623327174,,12.2078319745711,,,55.7126801317513,46.4735060598792,0.99747032184151,,,-1.6677205030661,-0.118035517189375,0.829702963424829,0.178829692765872,496001363,0.27843140444744,0.199499999999993,0.398999999999987,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2035,True,VISpm,517423792,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.229789661779018,511510753,False,0.229156582674214,0.959160620466181,0.615570185075593,0.447898305084746,175,1.19771052728772,0.914097406222895,1.49849721618035e-27,8.91378475398891e-10,0.0245560745114076,0.672529817973322,0.43456597903864,8.25734425671493e-07,19.5668588929499,2.82772468835115,2.92104404173791,270.0,64.0,30.0,0.0,0.04,15.0,0.185896268499805,0.0284995903460673,0.00611607322047595,0.0260142710853835,0.0389068210844737,0.00509848323222776,0.00485144566840049,0.00203129633065311,,,,,,,1.0,,,0.823444694236584,-0.297739076787427,-0.581195842718818,0.223265535591938,496001363,0.391947420404227,0.29924999999999,0.0997499999999967,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2037,True,VISpm,517423806,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.385987078928179,0.627945182965384,1.0,0.313203389830509,175,,,0.170123007325465,1.0539667821491e-12,0.697993844905121,0.465089680315263,0.575811914494043,0.0022157095023147,5.10722762878452,14.8655722965486,9.68292953381315,,59.0,90.0,0.0,0.04,,-0.00597401152473423,0.0422272452893704,0.018173135170625,0.0352761080150599,0.017390429349529,0.0182974703064616,0.0459146695800258,0.0279516476614393,,47.2013294991785,,,103.695276879234,3.48169016418493,0.091335586774011,,,0.868300779622003,0.363075134618805,0.424730213744764,0.226325692234989,496001363,0.311054624871761,0.432249999999986,0.29924999999999,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2041,True,VISpm,517423834,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),,511510753,False,0.831090267202211,0.660941237458971,0.508180702602499,0.207898305084746,175,1.03386245627554,1.30334957648565,0.0159689368785421,7.11523293711341e-06,0.304501381341161,0.258739561142727,0.587021585720821,0.00142580936690157,2.30703268634776,1.85478203088045,0.891247544554062,0.0,12.0,90.0,0.0,0.32,1.0,0.00201038030442327,0.0363646488055177,0.119551349503341,0.217516193389066,0.573950509288472,0.310134388236118,0.0153468523591555,0.020550772173474,,,,,,,0.999999999902301,,,-0.900696262743434,0.552299123328329,0.288289768642368,0.218689717589853,496001363,0.272317247094189,0.166249999999994,0.166249999999994,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
2046,True,VISpm,517423865,Cux2-CreERT2/wt;Camk2a-tTA/wt;Ai93(TITL-GCaMP6f)/Ai93(TITL-GCaMP6f),0.222195627254379,511510753,False,0.0836312170312563,0.374926303907926,0.561765760174816,0.26564406779661,175,0.69108234008388,1.4506794758766,0.00129568095619273,2.73877109569664e-09,0.194345413091413,0.0317067906117649,0.43808602694473,0.0106947721326177,0.940933497995138,0.878526932438836,1.42458006335726,180.0,77.0,60.0,0.25,0.08,1.0,-0.0198033121957196,0.0076224146686093,0.00680568356104979,0.00680458240512054,0.48738342034081,0.0829735437366516,-0.00164123818244058,0.0498399447402647,,,,,,,1.0,,,0.61888503310901,-1.17713061283389,-0.619415013884781,0.199735817466315,496001363,0.268496756681347,0.232749999999992,0.0997499999999967,177839004,Cux2-CreERT2,177837320.0,Camk2a-tTA,265943423,Ai93(TITL-GCaMP6f)
